page,priority,content
0,1.0,"S u s t a i n a b i l i t y  F a c t  S h e e t  2 0 1 9"
1,0.33333333333333337,"The key indicators, data and consumption figures from  . this Fact Sheet relate to the 2017/18 financial year. General . changes, projects and topics are shown until December . 2019. Detailed information about the company and further . information about sustainability can be found on our  . website: www.faber-castell.de/corporate/nachhaltigkeit"
1,0.6666666666666667,"Do you have any suggestions, criticism, ideas for improvement . or questions about this Fact Sheet or sustainability in  .  general? Then please get in touch:  . sustainability@faber-castell.com"
1,1.0,"2"
2,0.5,"Dear Reader,"
2,0.6,"Sustainability is reflected in many aspects of Faber-Castell’s business activities. With a history . spanning almost 260 years, the company can look back on a multitude of visionary and for-. ward-thinking leaders. Alongside Lothar von Faber, who was already dedicated to social commit-. ment in the middle of the 19th century, Count Anton-Wolfgang von Faber-Castell also led his com-. pany prospective into the future. He acted with conviction and set the right course for a sustainable . company that is aware of its social and environmental responsibility. In cooperation with the ninth . generation of the family, our Corporate Essentials, the company’s guiding principles, have now been . improved to meet future requirements. They explain what we stand for, what we want to achieve, . and which values underlie our actions."
2,0.2,"The Sustainable Development Goals defined by the United Nations for a sustainable global community . include topics which also form the basis of Faber-Castell’s corporate activities (page 26f and 30f)."
2,0.3,"We particularly focus on obtaining our most important raw material – the wood for our pencils – . from socially and environmentally sustainable sources. As a pioneer in the industry, Faber-Castell . launched our forestry project in Prata, south-east Brazil, as early as the beginning of the 1980s.  . Our company-owned, FSC®-certified forests absorb 900,000 tons of carbon dioxide (CO2) from the . atmosphere. They serve not only as a source of raw materials for our largest plant in Brazil, but  . also offset the carbon footprint of our production facilities worldwide (page 14f)."
2,0.4,"We are also pushing the use of renewable energies, which already account for 63 percent of the . Group’s energy consumption. Our sites in Brazil and Austria already draw their electricity entirely . from these sources (page 22). At our headquarters in Stein, our own hydroelectric power plant .  produces electricity that drives our production process (page 22) and from 2020 we will obtain 100 . percent of our purchased electricity from renewable sources. We are also developing a strategy to .  reduce or substitute plastics in our packaging and products."
2,0.8,"The Sustainability Fact Sheet 2019 provides information on the current development status of our . global commitment, reports on improvements achieved and addresses the challenges we face. We . wish to have an active dialogue with you and invite you to accompany and support us on our journey. . Please send us any feedback at sustainability@faber-castell.com. We look forward to hearing from . you!"
2,0.1,"With kind regards"
