page,priority,content
0,1.0,"."
0,0.6875,"S&P Global Ratings | Green Evaluation   .  CONFIDENTIAL. This product is not a credit rating. . 1"
0,0.020833333333333336,""
0,0.9791666666666667,"Green Evaluation . Ygrene Energy Fund Inc.’s GoodGreen Series 2020-1 Notes"
0,0.7916666666666667,"Transaction Overview"
0,0.45833333333333337,"GoodGreen 2020-1 is a special-purpose vehicle (SPV) created to issue $318.087 million in private placement series . 2020-1 notes secured by a portfolio of property-assessed clean energy (PACE) assets in California, Florida, and . Missouri. PACE programs allow for low-cost financing of a variety of energy efficiency, renewable energy, water . conservation, storm protection, and seismic improvements on residential and commercial properties that are repaid . through a special tax or an annual or semiannual assessment on a property’s tax bill. Ygrene Energy Fund Inc. . (Ygrene), the transaction sponsor, is a financing company that provides residential, multifamily, and commercial . property PACE financing throughout the U.S. Ygrene provides collateral in the form of the PACE asset portfolio and . uses the liens and tax payments to support the securitization. The notes are nonrecourse obligations of GoodGreen . 2020-1 and are payable solely from the PACE assets. For purposes of this evaluation, we assess the technologies in . the underlying collateral assets, which include building refurbishment, solar photovoltaic (PV) installations, water . efficiency retrofits, and energy efficiency measures. The pool also includes seismic improvements, alternative . energy, and other projects that are not in scope for our Green Evaluation but are eligible under PACE programs. In our . view, this transaction is aligned with the Green Bond Principles 2018 (GBP)."
0,0.10416666666666666,""
0,0.7083333333333333,". Entity:   . GoodGreen 2020-1"
0,0.5833333333333334,"Subsector:   . Specialized Finance"
0,0.5208333333333334,"Location (HQ):   . U.S."
0,0.4375,"Financing value:   . $318.087 million"
0,0.5416666666666666,"Amount evaluated: 97.8%"
0,0.41666666666666663,"Evaluation date:   . July 17, 2020"
0,0.8125,"Contacts:   . Srabani Chandra Lal . 212-438-5036 . srabani.chandra-. lal@spglobal.com"
0,0.7291666666666667,"Mita Singh . 212-438-1905 . Mita.singh@spglobal.com"
0,0.7708333333333333,"Green Evaluation Overview"
0,0.6041666666666666,"Transaction's transparency"
0,0.5,"− . Use of proceeds reporting"
0,0.9375,"− . Reporting comprehensiveness  . 57"
0,0.19791666666666669,""
0,0.19791666666666669,""
0,0.8958333333333333,"Overall Score . E1/75"
0,0.19791666666666669,""
0,0.19791666666666669,""
0,0.07291666666666667,""
0,0.625,"Transaction's governance"
0,0.5625,"− . Management of proceeds"
0,0.9583333333333333,"− . Impact assessment structure . 81"
0,0.19791666666666669,""
0,0.19791666666666669,""
0,0.6666666666666667,"Weighted aggregate of three"
0,0.8333333333333333,"(Transparency + Governance + . Mitigation)  ."
0,0.19791666666666669,""
0,0.07291666666666667,""
0,0.9166666666666667,"Mitigation ."
0,0.75,"Sector  →  Net benefit ranking  →  Hierarchy adjustments"
0,0.8541666666666667,"78"
0,0.19791666666666669,""
0,0.47916666666666663,"Green Energy, Green . Buildings, Energy . Efficiency, Water"
0,0.6458333333333333,". Solar PV, refurbishment, . energy star products, . industrial efficiencies, . water conservation"
0,0.875,"Carbon, Water ."
0,0.34375,"E1"
0,0.34375,"E2"
0,0.04166666666666667,""
0,0.34375,"E3"
0,0.34375,"E4"
0,0.39583333333333337,"100"
0,0.2916666666666667,"0"
1,0.8333333333333333,"S&P Global Ratings | Green Evaluation   .  CONFIDENTIAL. This product is not a credit rating. . 2"
1,0.08333333333333334,""
1,1.0,"Adaptation  NA ."
1,0.6666666666666667,"Project Description"
1,0.41666666666666663,"GoodGreen 2020-1 will use the note proceeds to acquire and . securitize a portfolio of PACE assets in California, Florida, and . Missouri. PACE programs were established by state legislation and . approved by local governments as a mechanism to provide low-cost . financing for energy and water efficiency retrofits, renewable energy . generation, storm resilience, and seismic improvements for . residential and commercial properties. The California PACE assets . are payable in equal semiannual installments, while the Florida and . Missouri PACE assets are each payable in a single annual . installment. PACE assessments have equal lien priority with real . estate taxes and constitute liens against the property."
1,0.33333333333333337,"We considered both the initial and prefunded pool in our analysis. The . prefunded pool refers to the collateral that will be purchased by the . issuer post-closing with proceeds from the securities offering that is . deposited into a prefunded account. The underlying collateral . consists mainly of residential PACE assets (84%) and commercial . assets (16%). Approximately 77% of the pool is in Florida, with the . remainder in California (22%) and Missouri (less than 1.2%). S&P . Global Ratings considers approximately 98% of the total collateral . value in our Green Evaluation for projects, excluding about 2% of . proceeds that are allocated to seismic improvements, alternative . energy, and other projects, which are out of scope for our Green . Evaluation but still eligible for PACE funding."
